epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4041,1.69499,2.13524,1.878,0.72523,0.57995,0.65021,0.33179,1.56251,2.88018,1.81061,0.000665349,0.000665349,0.000665349
2,55.6969,1.71646,1.95559,1.91565,0.6833,0.53117,0.58941,0.22973,1.90381,1.9455,2.0977,0.00132669,0.00132669,0.00132669
3,81.9635,1.73707,1.90101,1.94353,0.72997,0.62602,0.69025,0.32628,1.70426,1.676,1.92696,0.00198269,0.00198269,0.00198269
4,107.794,1.74694,1.82496,1.9508,0.69842,0.61247,0.69249,0.32162,1.81639,1.87424,2.08652,0.001976,0.001976,0.001976
5,133.41,1.68963,1.77819,1.92946,0.66955,0.63686,0.65616,0.31839,1.67653,1.62827,1.92218,0.001968,0.001968,0.001968
6,167.886,1.66645,1.74195,1.87851,0.77337,0.71816,0.75728,0.35371,1.77531,1.7229,2.02365,0.00196,0.00196,0.00196
7,208.911,1.59211,1.64032,1.83161,0.75267,0.65583,0.71224,0.37049,1.66039,1.59084,1.95424,0.001952,0.001952,0.001952
